ItemName,ItemPrice,ItemLink
Apple iPhone 5C 32 GB Sprint,,/Apple-iPhone-5C-Sprint-Green/dp/B00F3IIVV4/ref=sr_1_1?crid=16P7IVNG481AC&keywords=iphone&qid=1686764360&sprefix=iphone%2Caps%2C213&sr=8-1
HMLTD Vintage American Flag Pattern iPhone 13 Case Design Silicone Shockproof Colorful TPU Scratch-Resistant Shock Protection Slim Fit Shell,$9.79,/HMLTD-American-Shockproof-Scratch-Resistant-Protection/dp/B0C7XJ2BB5/ref=sr_1_2?crid=16P7IVNG481AC&keywords=iphone&qid=1686764360&sprefix=iphone%2Caps%2C213&sr=8-2
HMLTD Retro Bird Pattern iPhone 13 Case Silicone Shockproof Colorful TPU Scratch-Resistant Slim Protective Shell,$9.79,/HMLTD-Silicone-Shockproof-Scratch-Resistant-Protective/dp/B0C7XFH6K4/ref=sr_1_3?crid=16P7IVNG481AC&keywords=iphone&qid=1686764360&sprefix=iphone%2Caps%2C213&sr=8-3
